res: ResultSet({'('mem_use', None)': [{'time': '1970-01-01T00:00:00Z', 'sum': 1675}]})
res: 1675
item: {'time': '2022-12-12T01:17:05.867544Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:05.918678Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:05.964527Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.022313Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.081071Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.143232Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.193646Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.263682Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.312571Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.382963Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.426258Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.485168Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.527223Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.575420Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.645686Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.691171Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.759367Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.828917Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
