alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
dolap40,0.0625,pmdalinux,17.39453279,17.25747692,17.47734717,0.0876787008,25.66,25.66,25.66,0.0876787008,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,0.0625,pmdaperfevent,8.685634992,8.620023077,8.821902883,0.08040120154,8.441,8.441,8.441,0.08040120154,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,0.0625,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1004.317725,1000.723075,1007.887028,3.155751562,-1,-1
dolap40,0.0625,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap40,0.03125,pmie,0.004532366618,0,0.01259203036,0.006269936599,5.414,5.414,5.414,0.006269936599,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.03125,pmcd,1.194647254,1.159131646,1.221016692,0.02281943425,6.246,6.246,6.246,0.02281943425,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap40,0.03125,pmdaproc,32.81705112,32.61102276,33.11556923,0.2048441556,7.750182223,7.73,7.776048193,0.2048441556,0,0,0,0,-1,-1,-1,-1,-1,6482
dolap40,0.03125,pmdalinux,17.3143664,17.13403846,17.37564259,0.1015859072,25.66,25.66,25.66,0.1015859072,0,0,0,0,-1,-1,-1,-1,-1,281
dolap40,0.03125,pmdaperfevent,9.461184053,9.045543247,10.31732308,0.513311086,8.441,8.441,8.441,0.513311086,0,0,0,0,-1,-1,-1,-1,-1,1584
dolap40,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1004.673725,994.5125769,1012.261493,7.040749166,-1,-1
dolap40,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15404,-1
dolap50,1,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap50,1,pmcd,0.4476736842,0.4202631579,0.4715789474,0.02559229536,6.246,6.246,6.246,0.02559229536,0,0,0,0,-1,-1,-1,-1,-1,-1
