machine,kernel,metric,no_metric,frequency,error
deren_run,daxpy,ai_err,4,2,-0.9167186628217183,1
deren_run,daxpy,fp_arith_scalar_double_err,4,4,-0.0037516613999229722,1
deren_run,daxpy,instruction_retired_err,4,4,-0.0023584348703781827,1
deren_run,daxpy,l1_bw,4,4,-0.002181766776821521,1
deren_run,daxpy,ai,4,4,0.08320224921384702,1
deren_run,daxpy,ai_err,4,4,-0.9168273313489137,1
deren_run,daxpy,fp_arith_scalar_double_err,4,8,0.0013720802745109443,1
deren_run,daxpy,instruction_retired_err,4,8,0.0028223530459043932,1
deren_run,daxpy,l1_bw,4,8,0.0029953002452689165,1
deren_run,daxpy,ai,4,8,0.0831985700921571,1
deren_run,daxpy,ai_err,4,8,-0.9168375798786074,1
deren_run,daxpy,fp_arith_scalar_double_err,4,16,-0.004152668418036142,1
deren_run,daxpy,instruction_retired_err,4,16,0.04000643452575169,1
deren_run,daxpy,l1_bw,4,16,0.005861576702688775,1
deren_run,daxpy,ai,4,16,0.08250685951674032,1
deren_run,daxpy,ai_err,4,16,-0.9177037408118982,1
deren_run,daxpy,fp_arith_scalar_double_err,4,32,-0.007726113941435129,1
deren_run,daxpy,instruction_retired_err,4,32,0.05913297302935359,1
deren_run,daxpy,l1_bw,4,32,-0.010629870386405112,1
deren_run,daxpy,ai,4,32,0.08358589043526919,1
deren_run,daxpy,ai_err,4,32,-0.9169118152504929,1
deren_run,triad,fp_arith_scalar_double_err,8,1,-0.008364292714681976,1
deren_run,triad,unhalted_reference_cycles_err,8,1,-0.03366395340424583,1
deren_run,triad,instruction_retired_err,8,1,-0.005567553473838829,1
deren_run,triad,uops_retired_any_err,8,1,-0.006007825210945235,1
deren_run,triad,l1_bw,8,1,-0.007161181975693237,1
deren_run,triad,ai,8,1,0.062426260816509885,1
deren_run,triad,ai_err,8,1,-0.9376118425277923,1
deren_run,triad,fp_arith_scalar_double_err,8,2,-0.010652304464516971,1
deren_run,triad,unhalted_reference_cycles_err,8,2,-0.03487412923793988,1
deren_run,triad,instruction_retired_err,8,2,-0.007944505715228482,1
deren_run,triad,uops_retired_any_err,8,2,-0.00836429479063112,1
deren_run,triad,l1_bw,8,2,-0.008795598858773002,1
deren_run,triad,ai,8,2,0.06238289522608962,1
deren_run,triad,ai_err,8,2,-0.9376360065175813,1
deren_run,triad,fp_arith_scalar_double_err,8,4,-0.0025146645114099524,1
deren_run,triad,unhalted_reference_cycles_err,8,4,-0.02869773165896896,1
deren_run,triad,instruction_retired_err,8,4,0.000298826773980642,1
deren_run,triad,uops_retired_any_err,8,4,0.00013396382237937672,1
deren_run,triad,l1_bw,8,4,-0.0003958143302234009,1
deren_run,triad,ai,8,4,0.062367559009643164,1
deren_run,triad,ai_err,8,4,-0.9375911367048091,1
deren_run,triad,fp_arith_scalar_double_err,8,8,-5.7839312138949575e-05,1
deren_run,triad,unhalted_reference_cycles_err,8,8,-0.02567195828536177,1
deren_run,triad,instruction_retired_err,8,8,0.002650755550727974,1
deren_run,triad,uops_retired_any_err,8,8,0.0022706512304568366,1
deren_run,triad,l1_bw,8,8,0.0017947199718972267,1
deren_run,triad,ai,8,8,0.06238444519900052,1
deren_run,triad,ai_err,8,8,-0.9376069423748712,1
deren_run,triad,fp_arith_scalar_double_err,8,16,-0.00555192776061678,1
deren_run,triad,unhalted_reference_cycles_err,8,16,0.055660574224002564,1
deren_run,triad,instruction_retired_err,8,16,0.04077936138501396,1
deren_run,triad,uops_retired_any_err,8,16,0.002479909851676814,1
deren_run,triad,l1_bw,8,16,0.002088292457792512,1
deren_run,triad,ai,8,16,0.06202382972109744,1
deren_run,triad,ai_err,8,16,-0.937924540769264,1
deren_run,triad,fp_arith_scalar_double_err,8,32,-0.00688002996600628,1
deren_run,triad,unhalted_reference_cycles_err,8,32,0.09972389369617275,1
deren_run,triad,instruction_retired_err,8,32,0.06389125070344712,1
deren_run,triad,uops_retired_any_err,8,32,-0.007196682132895731,1
deren_run,triad,l1_bw,8,32,-0.009751493643676194,1
